src_ip,src_port,dst_ip,dst_port,proto,service,conn_state,src_bytes,dst_bytes,duration,attack_type,anomaly_score,severity,true_label,llm_report
192.168.1.180,60248,192.168.1.152,1880,tcp,http,SF,12213,831372,18.314725,normal,0.2414,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 192.168.1.180 initiated an HTTP connection to 192.168.1.152 using TCP protocol, which has an unusually high byte volume (Bytes Sent: 12213, Bytes Received: 831372) and a prolonged duration of 18.31 seconds. This traffic pattern is suspicious as it deviates from the established baseline.
RISK REASON: The anomaly score of 0.2414 indicates that this activity is more likely to be malicious or indicative of data exfiltration disguised as normal traffic, or a misconfigured device.
ACTION: It is recommended that the security team investigate further into the origin and purpose of this traffic for potential data breach prevention measures."
192.168.1.190,44915,192.168.1.152,1880,tcp,http,SF,1013,584410,6.15258,normal,0.2412,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 192.168.1.190 initiated an HTTP connection to 192.168.1.152, sending a relatively small amount of data (1013 bytes) compared to the large volume received (584410 bytes). This unusual data exchange over a prolonged duration (6.15 seconds) deviates from the baseline, suggesting potential data exfiltration or misconfiguration.
RISK REASON: The anomaly score of 0.2412 and traffic pattern indicate that this is not typical behavior for this device, posing a medium risk.
ACTION: The security team should investigate further to determine the cause of the unusual traffic and address any potential data exfiltration or misconfiguration issues."
192.168.1.195,53646,13.107.4.50,80,tcp,http,SF,1313,1170019,1.39576,normal,0.2394,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 192.168.1.195 has sent a relatively small amount of data (1313 bytes) but received an unusually large volume (1,170,019 bytes) over the HTTP protocol to the destination IP 13.107.4.50. This traffic pattern suggests potential data exfiltration disguised as normal communication or a misconfigured device.
RISK REASON: The anomaly score of 0.2394 and the significant deviation from the baseline byte volume confirm this as a MEDIUM threat.
ACTION: The security team is recommended to investigate this device and its communication pattern for potential data leaks or misconfigurations, and take necessary actions to secure the network."
192.168.1.34,40326,157.240.8.18,443,tcp,ssl,SF,1313,4478,180.310948,mitm,0.2391,CRITICAL,1,LLM analysis unavailable after retries
192.168.1.34,48098,216.58.200.98,443,tcp,ssl,SF,15287,62172,16.253196,mitm,0.2388,CRITICAL,1,LLM analysis unavailable after retries
2405:6e00:10ce:2c00:9064:17:85d2:57d4,49948,2606:2800:147:120f:30c:1ba0:fc6:265a,443,tcp,ssl,SF,859,20840,109.719694,normal,0.2386,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 2405:6e00:10ce:2c00:9064:17:85d2:57d4 is exhibiting unusual SSL traffic towards the destination IP 2606:2800:147:120f:30c:1ba0:fc6:265a on port 443. The high volume of bytes sent and received, along with the extended duration of the connection, deviate from normal traffic patterns, suggesting potential data exfiltration or misconfiguration.
RISK REASON: The anomaly score of 0.2386 indicates that this activity is more suspicious than typical network behavior, confirming a MEDIUM threat level.
ACTION: The security team should closely monitor the device's traffic and investigate the cause for these unusual characteristics to ensure data integrity and prevent potential data breaches."
192.168.1.31,37890,192.168.1.184,443,tcp,-,S3,927145177,927381869,395.038276,ddos,0.2383,CRITICAL,1,"THREAT TYPE: Distributed Denial of Service (DDoS)
SEVERITY: CRITICAL
BEHAVIOR: The device with IP 192.168.1.31 is sending a large volume of traffic, specifically 927145177 bytes sent and 927381869 bytes received over TCP protocol within a short duration of 395.04 seconds, targeting the device with IP 192.168.1.184 on port 443. This traffic pattern is suspicious due to its high packet count and short burst duration, which are indicative of a volumetric flood attack.
RISK REASON: The anomaly score of 0.2383 and the observed traffic pattern suggest that this is a CRITICAL threat as it has the potential to bring down network infrastructure and disrupt all connected IoT devices.
ACTION: Immediately isolate the source device (192.168.1.31) from the network to prevent further disruption, and implement DDoS mitigation strategies to protect the network resources and connected devices."
192.168.1.152,55438,216.58.199.74,443,tcp,ssl,SF,1651,3510,171.040934,normal,0.2383,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 192.168.1.152 has established a TCP connection over SSL (port 443) with the destination IP 216.58.199.74, exhibiting an unusually high byte volume (Bytes Sent: 1651, Bytes Received: 3510) and prolonged duration (171.04 seconds). This traffic pattern is suspicious as it deviates from the baseline, potentially disguising data exfiltration or misconfiguration within seemingly normal traffic.
RISK REASON: The anomaly score of 0.2383 indicates that this traffic has unusual characteristics, confirming it as a MEDIUM threat.
ACTION: It is recommended to investigate the device's configuration and network activity for potential data exfiltration or misconfiguration, and take appropriate remediation actions if necessary."
192.168.1.31,57456,101.119.11.11,80,tcp,http,SF,2304,3072,293.766464,mitm,0.2365,CRITICAL,1,"THREAT TYPE: Man-in-the-Middle (MitM)
SEVERITY: CRITICAL
BEHAVIOR: The device with IP 192.168.1.31 is engaging in a potential interception of traffic using the HTTP protocol on port 80, as indicated by the detected type and anomaly score. The prolonged duration (293.77 seconds) and high volume of data transferred (total of 5376 bytes) suggest that this activity may involve the modification or interception of communications between devices.
RISK REASON: The anomaly score of 0.2365, higher than average, and the traffic pattern confirm this as a CRITICAL threat due to the potential for widespread compromise of all communications between devices.
ACTION: Immediately investigate the device with IP 192.168.1.31 for signs of unauthorized access or malicious activity. Implement network segmentation, intrusion detection systems, and monitor for any ARP anomalies, unusual relay patterns, or duplicate flows between devices to prevent further compromise."
192.168.1.32,46508,101.119.11.17,80,tcp,http,SF,2304,3072,293.185237,scanning,0.2365,HIGH,1,"THREAT TYPE: Network Scanning / Reconnaissance
SEVERITY: HIGH
BEHAVIOR: The device with IP 192.168.1.32 has been observed making a prolonged connection (293.19 seconds) to the destination IP 101.119.11.17 on port 80 using TCP protocol, which is indicative of systematic port scanning or network reconnaissance activity. The large number of bytes sent and received also suggests data gathering intentions.
RISK REASON: The anomaly score of 0.2365 and the observed traffic pattern confirm this as a HIGH threat due to its potential for being an initial phase of a targeted attack.
ACTION: Immediate investigation is required, focusing on identifying the device and understanding its purpose within the network. Network access control measures should be reinforced to prevent any further suspicious activity."
192.168.1.152,36154,216.58.199.74,443,tcp,ssl,SF,1652,2829,171.120424,normal,0.2365,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 192.168.1.152 has exhibited unusual SSL traffic over a prolonged duration (171.12 seconds) and high byte volumes (Bytes Sent: 1652, Bytes Received: 2829), which deviates from the established baseline. This behavior suggests potential data exfiltration disguised as normal traffic or misconfiguration of the device.
RISK REASON: The anomaly score of 0.2365 and the observed deviation from the norm indicate a medium risk level.
ACTION: It is recommended that the security team conducts a thorough investigation of this device, focusing on its configuration and data transmission patterns to determine if any remedial action is necessary."
192.168.1.152,38012,172.217.25.138,443,tcp,ssl,SF,1651,3342,171.047375,normal,0.2357,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM

BEHAVIOR: The device with IP address 192.168.1.152 initiated an SSL connection to destination IP 172.217.25.138, which is unusual due to the high byte volume (1651 bytes sent and 3342 bytes received) and extended duration of 171.05 seconds, deviating from the established network baseline.

RISK REASON: The anomaly score of 0.2357 indicates that this traffic pattern is more suspicious, suggesting potential data exfiltration disguised as normal traffic or a misconfigured device.

ACTION: Conduct a detailed investigation into the source device's activity and configuration to determine if any unauthorized data transfers occurred. Further analysis of the destination IP may also be necessary to understand its role in this anomalous behavior."
192.168.1.195,50325,117.18.232.200,443,tcp,ssl,SF,859,20840,88.627116,normal,0.2353,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 192.168.1.195 exhibited an unusually high volume of data transfer (20,840 bytes received) over a prolonged duration (88.63 seconds) using SSL protocol on port 443, which deviates from the baseline norms. This behavior is suspicious as it may indicate potential data exfiltration disguised as normal traffic or a misconfigured device.
RISK REASON: The anomaly score of 0.2353 and the traffic pattern confirm this as a MEDIUM threat due to the high volume of data transferred and the extended duration of the connection.
ACTION: It is recommended that the security team conducts a thorough investigation into the device's activities, including a review of its configuration settings and network behavior, to determine if any remediation actions are necessary."
192.168.1.152,45066,216.58.199.74,443,tcp,ssl,SF,1652,3619,171.113963,normal,0.2352,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 192.168.1.152 has exhibited unusual characteristics in its SSL traffic, sending 1652 bytes and receiving 3619 bytes over a duration of 171.11 seconds, which is significantly longer than typical communication patterns for this device.
RISK REASON: The anomaly score of 0.2352 indicates that while the traffic appears legitimate, it deviates from expected behavior, potentially suggesting data exfiltration or a misconfigured device.
ACTION: It is recommended that the security team investigate this device for potential misconfiguration or unauthorized activity, and monitor its network traffic more closely in the near future."
192.168.1.152,34130,216.58.199.74,443,tcp,ssl,SF,1652,3072,171.844614,normal,0.2349,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 192.168.1.152 has engaged in SSL traffic over TCP protocol with an unusual duration of 171.84 seconds and a high byte volume (Bytes Sent: 1652, Bytes Received: 3072), which deviates from the baseline, suggesting potential data exfiltration disguised as normal traffic or misconfiguration.
RISK REASON: The anomaly score of 0.2349 and the observed traffic pattern indicate a MEDIUM threat level.
ACTION: It is recommended to conduct a thorough investigation into this device's activity, including reviewing its configuration settings and network behavior patterns, and take appropriate remediation actions if necessary."
192.168.1.152,55928,216.58.199.74,443,tcp,ssl,SF,1653,3163,170.190963,normal,0.2347,MEDIUM,0,"THREAT TYPE: Anomalous Normal Traffic
SEVERITY: MEDIUM
BEHAVIOR: The device with IP address 192.168.1.152 has exhibited unusual characteristics in its SSL traffic, sending a high volume of bytes (1653) and receiving even more (3163), over an extended duration of 170.19 seconds. This activity deviates from the baseline, potentially disguising data exfiltration or indicating a misconfigured device.
RISK REASON: The anomaly score of 0.2347 and the traffic pattern confirm this as a MEDIUM threat due to the potential for unauthorized data transfer or system vulnerability.
ACTION: The security team is recommended to conduct a thorough investigation and analysis of the device's SSL traffic, including reviewing logs and network configurations, to determine the cause of the anomaly and mitigate any potential risks."
192.168.1.152,55914,216.58.199.74,443,tcp,ssl,SF,1653,3292,171.070291,normal,0.2347,MEDIUM,0,LLM analysis unavailable after retries
192.168.1.152,42300,172.217.25.138,443,tcp,ssl,SF,1652,3028,171.046016,normal,0.2344,MEDIUM,0,LLM analysis unavailable after retries
192.168.1.152,53268,172.217.25.138,443,tcp,ssl,SF,1652,3081,171.065163,normal,0.2344,MEDIUM,0,LLM analysis unavailable after retries
192.168.1.152,57610,172.217.25.138,443,tcp,ssl,SF,1652,3337,171.046043,normal,0.2344,MEDIUM,0,LLM analysis unavailable after retries
192.168.1.195,54133,207.46.155.185,80,tcp,http,SF,4266,3902,162.079581,normal,0.2339,MEDIUM,0,LLM analysis unavailable after retries
