src_ip,src_port,dst_ip,dst_port,proto,service,conn_state,src_bytes,dst_bytes,duration,anomaly_score,label,type
2405:6e00:10ce:2c00:9064:17:85d2:57d4,49948,2606:2800:147:120f:30c:1ba0:fc6:265a,443,tcp,ssl,SF,859,20840,109.719694,0.2386,0,normal
192.168.1.31,37890,192.168.1.184,443,tcp,-,S3,927145177,927381869,395.038276,0.2383,1,ddos
192.168.1.152,55438,216.58.199.74,443,tcp,ssl,SF,1651,3510,171.040934,0.2383,0,normal
192.168.1.31,57456,101.119.11.11,80,tcp,http,SF,2304,3072,293.766464,0.2365,1,mitm
192.168.1.32,46508,101.119.11.17,80,tcp,http,SF,2304,3072,293.185237,0.2365,1,scanning
192.168.1.152,36154,216.58.199.74,443,tcp,ssl,SF,1652,2829,171.120424,0.2365,0,normal
192.168.1.152,38012,172.217.25.138,443,tcp,ssl,SF,1651,3342,171.047375,0.2357,0,normal
192.168.1.195,50325,117.18.232.200,443,tcp,ssl,SF,859,20840,88.627116,0.2353,0,normal
192.168.1.152,45066,216.58.199.74,443,tcp,ssl,SF,1652,3619,171.113963,0.2352,0,normal
192.168.1.152,34130,216.58.199.74,443,tcp,ssl,SF,1652,3072,171.844614,0.2349,0,normal
192.168.1.152,55928,216.58.199.74,443,tcp,ssl,SF,1653,3163,170.190963,0.2347,0,normal
192.168.1.152,55914,216.58.199.74,443,tcp,ssl,SF,1653,3292,171.070291,0.2347,0,normal
192.168.1.152,42300,172.217.25.138,443,tcp,ssl,SF,1652,3028,171.046016,0.2344,0,normal
192.168.1.152,53268,172.217.25.138,443,tcp,ssl,SF,1652,3081,171.065163,0.2344,0,normal
192.168.1.152,57610,172.217.25.138,443,tcp,ssl,SF,1652,3337,171.046043,0.2344,0,normal
192.168.1.195,54133,207.46.155.185,80,tcp,http,SF,4266,3902,162.079581,0.2339,0,normal
192.168.1.152,38292,172.217.25.138,443,tcp,ssl,SF,1652,3472,171.041453,0.2336,0,normal
192.168.1.34,34906,151.101.24.64,443,tcp,ssl,SF,1348,6928,116.169967,0.2334,1,mitm
192.168.1.152,36058,216.58.199.74,443,tcp,ssl,SF,1651,2820,171.056858,0.2334,0,normal
192.168.1.152,42756,216.58.199.74,443,tcp,ssl,SF,1652,3238,171.098973,0.2331,0,normal
192.168.1.152,34384,216.58.199.74,443,tcp,ssl,SF,1652,2389,171.088303,0.2326,0,normal
192.168.1.31,33600,172.217.194.157,443,tcp,ssl,RSTR,1125,3501,180.477504,0.2321,1,mitm
2405:6e00:10ce:2c00:9064:17:85d2:57d4,52889,2606:2800:147:120f:30c:1ba0:fc6:3001,80,tcp,http,SF,2988,109562,1.151597,0.2319,0,normal
2405:6e00:10ce:2c00:9064:17:85d2:57d4,52889,2606:2800:147:120f:30c:1ba0:fc6:3001,80,tcp,http,SF,2988,109562,1.151597,0.2319,0,normal
2405:6e00:10ce:2c00:9064:17:85d2:57d4,52889,2606:2800:147:120f:30c:1ba0:fc6:3001,80,tcp,http,SF,2988,109562,1.151597,0.2319,0,normal
192.168.1.152,43360,35.244.179.255,443,tcp,ssl,SF,1306,998,170.656993,0.2308,0,normal
192.168.1.152,43792,13.35.146.115,443,tcp,-,SHR,0,27182,118.167881,0.2301,0,normal
192.168.1.152,36638,13.35.146.115,443,tcp,-,SHR,0,26635,122.317284,0.2291,0,normal
192.168.1.152,43244,52.89.173.114,443,tcp,ssl,SF,1637,4978,61.221278,0.229,0,normal
192.168.1.152,43246,52.89.173.114,443,tcp,ssl,SF,1632,4477,61.235806,0.2288,0,normal
192.168.1.152,38108,13.35.146.57,443,tcp,-,SHR,0,18899,116.016987,0.2288,0,normal
192.168.1.152,47030,216.58.199.74,443,tcp,ssl,SF,1691,4363,19.228315,0.2275,0,normal
192.168.1.190,44917,192.168.1.152,1880,tcp,-,SF,895,135376,5.0778,0.2274,0,normal
192.168.1.152,51390,172.217.25.138,443,tcp,-,SHR,0,5661,171.097779,0.2272,0,normal
192.168.1.152,57610,172.217.25.138,443,tcp,-,SHR,0,3337,171.032,0.227,0,normal
192.168.1.152,60092,216.58.199.74,443,tcp,-,SHR,0,2948,171.03148,0.2262,0,normal
192.168.1.32,34692,192.168.1.195,80,tcp,http,RSTR,6913,4884,125.203044,0.2261,1,xss
192.168.1.32,33964,192.168.1.195,80,tcp,http,RSTR,6268,4669,125.200868,0.2261,1,xss
192.168.1.152,45374,52.35.21.241,443,tcp,ssl,SF,1449,3687,61.060951,0.2257,0,normal
192.168.1.152,46478,52.35.215.194,443,tcp,ssl,SF,1449,3687,61.103008,0.2257,0,normal
192.168.1.32,35284,192.168.1.195,80,tcp,http,RSTR,5284,4341,125.145095,0.2256,1,xss
192.168.1.32,35282,192.168.1.195,80,tcp,http,RSTR,5386,4375,125.124848,0.2251,1,xss
192.168.1.152,51906,35.160.78.190,443,tcp,ssl,SF,1449,3687,61.195368,0.2249,0,normal
192.168.1.152,34334,54.187.176.55,443,tcp,ssl,SF,1449,3687,61.385759,0.2249,0,normal
192.168.1.152,51280,52.42.83.187,443,tcp,ssl,SF,1449,3687,61.244879,0.2249,0,normal
192.168.1.32,33292,192.168.1.195,80,tcp,http,RSTR,2980,3573,143.060081,0.2234,1,xss
192.168.1.32,36920,192.168.1.195,80,tcp,http,RSTR,3079,3606,131.066337,0.2229,1,xss
192.168.1.32,35448,192.168.1.195,80,tcp,http,RSTR,2677,3472,139.919817,0.2224,1,xss
192.168.1.152,37182,13.35.146.12,443,tcp,ssl,SF,1132,763,116.029656,0.2222,0,normal
192.168.1.152,38626,13.35.146.12,443,tcp,-,SHR,0,3874,115.466922,0.2219,0,normal
192.168.1.152,43360,35.244.179.255,443,tcp,-,SHR,0,998,171.063773,0.2211,0,normal
192.168.1.30,43748,192.168.1.184,443,tcp,ssl,S3,942,7324,115.971106,0.221,1,ddos
192.168.1.30,45448,192.168.1.184,443,tcp,ssl,S3,850,7324,114.659478,0.2197,1,ddos
192.168.1.30,46720,192.168.1.184,443,tcp,ssl,S3,824,7324,116.065471,0.2194,1,ddos
192.168.1.32,52998,192.168.1.195,80,tcp,http,RSTR,3049,3596,129.732145,0.2185,1,xss
192.168.1.32,57956,192.168.1.195,80,tcp,-,RSTR,2953,3564,128.813453,0.2182,1,xss
192.168.1.32,59958,192.168.1.195,80,tcp,http,RSTR,4219,3986,125.08127,0.2181,1,xss
192.168.1.32,53780,192.168.1.195,80,tcp,http,RSTR,3997,3912,132.121651,0.2178,1,xss
192.168.1.152,34288,216.58.199.74,443,tcp,-,SHR,0,4913,171.095143,0.2177,0,normal
192.168.1.31,36118,192.168.1.184,443,tcp,-,S3,641700027,642540436,376.534371,0.2176,1,ddos
192.168.1.32,57782,192.168.1.195,80,tcp,http,RSTR,3139,3626,128.962271,0.2174,1,xss
192.168.1.152,47590,117.18.237.29,80,tcp,-,SHR,0,787,115.650701,0.2163,0,normal
192.168.1.190,57840,52.39.195.123,443,tcp,ssl,SF,2936,3641,61.288996,0.2158,0,normal
192.168.1.152,37182,13.35.146.12,443,tcp,-,SHR,0,763,116.017422,0.2158,0,normal
192.168.1.152,47318,216.58.199.74,443,tcp,-,SHR,0,3726,171.053875,0.2157,0,normal
192.168.1.152,40700,216.58.199.74,443,tcp,-,SHR,0,3885,171.053091,0.2157,0,normal
192.168.1.152,55928,216.58.199.74,443,tcp,-,SHR,0,3163,170.173811,0.2154,0,normal
192.168.1.152,55604,216.58.199.74,443,tcp,-,SHR,0,3122,171.05237,0.2154,0,normal
192.168.1.32,55144,192.168.1.195,80,tcp,http,RSTR,3781,3840,129.49807,0.2153,1,xss
192.168.1.32,33990,192.168.1.195,80,tcp,http,RSTR,3766,3835,125.261207,0.2153,1,xss
192.168.1.152,36402,216.58.199.74,443,tcp,-,SHR,0,3422,171.037055,0.2152,0,normal
192.168.1.32,54324,192.168.1.195,80,tcp,http,RSTR,3571,3770,130.48273,0.2151,1,xss
192.168.1.36,36742,192.168.1.195,80,tcp,http,RSTR,3394,3711,129.576062,0.2151,1,xss
192.168.1.32,32916,192.168.1.195,80,tcp,http,RSTR,3436,3725,125.20693,0.2151,1,xss
192.168.1.36,37230,192.168.1.195,80,tcp,http,RSTR,3646,3795,125.411456,0.2151,1,xss
192.168.1.32,36248,192.168.1.195,80,tcp,http,RSTR,3394,3711,125.058592,0.2151,1,xss
192.168.1.36,36730,192.168.1.195,80,tcp,http,RSTR,3700,3813,129.437405,0.2151,1,xss
192.168.1.152,57706,216.58.199.74,443,tcp,-,SHR,0,5076,171.031586,0.2149,0,normal
192.168.1.152,53778,216.58.199.74,443,tcp,-,SHR,0,3260,171.033266,0.2149,0,normal
192.168.1.152,45042,216.58.199.74,443,tcp,-,SHR,0,3535,171.031866,0.2149,0,normal
192.168.1.152,42756,216.58.199.74,443,tcp,-,SHR,0,3238,171.031894,0.2149,0,normal
192.168.1.152,46742,216.58.199.74,443,tcp,-,SHR,0,3097,171.183184,0.2147,0,normal
192.168.1.152,53268,172.217.25.138,443,tcp,-,SHR,0,3081,171.041299,0.2147,0,normal
192.168.1.152,38342,216.58.199.74,443,tcp,-,SHR,0,3323,171.028939,0.2147,0,normal
192.168.1.31,39788,192.168.1.184,443,tcp,-,S3,1013555891,1013737502,399.896959,0.2145,1,ddos
192.168.1.152,51100,216.58.199.74,443,tcp,-,SHR,0,2739,171.054144,0.2144,0,normal
192.168.1.152,51328,216.58.199.74,443,tcp,-,SHR,0,2786,171.155579,0.2144,0,normal
192.168.1.30,46068,192.168.1.184,443,tcp,ssl,S3,966,7324,87.878164,0.2141,1,ddos
192.168.1.32,36254,192.168.1.195,80,tcp,http,RSTR,2485,3408,125.055603,0.2133,1,xss
192.168.1.32,33944,192.168.1.195,80,tcp,http,RSTR,2488,3409,125.258836,0.2133,1,xss
192.168.1.32,36268,192.168.1.195,80,tcp,http,RSTR,2746,3495,125.156489,0.2131,1,xss
192.168.1.32,36910,192.168.1.195,80,tcp,http,RSTR,3070,3603,125.395919,0.2131,1,xss
192.168.1.36,36902,192.168.1.195,80,tcp,http,RSTR,2656,3465,125.185499,0.2131,1,xss
192.168.1.32,36912,192.168.1.195,80,tcp,http,RSTR,2575,3438,125.383881,0.2131,1,xss
192.168.1.32,33738,192.168.1.195,80,tcp,http,RSTR,2731,3490,125.045636,0.2131,1,xss
192.168.1.32,59560,192.168.1.195,80,tcp,http,RSTR,2341,3360,126.768451,0.2131,1,xss
192.168.1.32,59918,192.168.1.195,80,tcp,http,RSTR,2671,3470,125.121376,0.2131,1,xss
192.168.1.32,59298,192.168.1.195,80,tcp,http,RSTR,2680,3473,127.58251,0.2131,1,xss
192.168.1.32,35894,192.168.1.195,80,tcp,http,RSTR,3139,3626,127.484723,0.2131,1,xss
192.168.1.32,34878,192.168.1.195,80,tcp,http,RSTR,2740,3493,125.173299,0.2131,1,xss
192.168.1.32,53188,192.168.1.195,80,tcp,http,RSTR,2719,3486,130.236059,0.2131,1,xss
192.168.1.32,59430,192.168.1.195,80,tcp,http,RSTR,2593,3444,126.735261,0.2131,1,xss
192.168.1.32,56604,192.168.1.195,80,tcp,http,RSTR,2761,3500,127.927516,0.2128,1,xss
192.168.1.32,34778,192.168.1.195,80,tcp,http,RSTR,2818,3519,125.253779,0.2128,1,xss
192.168.1.32,35326,192.168.1.195,80,tcp,http,RSTR,2755,3498,125.10413,0.2128,1,xss
192.168.1.32,58816,192.168.1.195,80,tcp,http,RSTR,2761,3500,128.639646,0.2128,1,xss
192.168.1.32,32854,192.168.1.195,80,tcp,http,RSTR,2692,3477,126.150709,0.2124,1,xss
192.168.1.32,54842,192.168.1.195,80,tcp,-,RSTRH,3304,3681,130.357711,0.2124,1,xss
192.168.1.32,34140,192.168.1.195,80,tcp,http,SF,2023,3254,159.275284,0.2124,1,xss
192.168.1.152,42986,216.58.199.74,443,tcp,-,SHR,0,2559,170.828264,0.2124,0,normal
192.168.1.32,33926,192.168.1.195,80,tcp,http,RSTR,2287,3342,125.138438,0.2123,1,xss
192.168.1.32,59326,192.168.1.195,80,tcp,http,RSTR,2197,3312,127.116981,0.2121,1,xss
192.168.1.32,54146,192.168.1.195,80,tcp,http,RSTR,2269,3336,130.360506,0.2121,1,xss
192.168.1.32,35510,192.168.1.195,80,tcp,http,RSTR,2194,3311,125.074175,0.2121,1,xss
192.168.1.32,35246,192.168.1.195,80,tcp,http,RSTR,2215,3318,125.135667,0.2121,1,xss
192.168.1.32,53990,192.168.1.195,80,tcp,http,RSTR,2242,3327,129.943072,0.2121,1,xss
192.168.1.32,57708,192.168.1.195,80,tcp,http,RSTR,2224,3321,128.856064,0.2121,1,xss
192.168.1.32,55140,192.168.1.195,80,tcp,http,RSTR,2188,3309,129.239377,0.2121,1,xss
192.168.1.32,54250,192.168.1.195,80,tcp,http,RSTR,2218,3319,130.503489,0.2121,1,xss
192.168.1.32,59432,192.168.1.195,80,tcp,http,RSTR,2191,3310,126.723268,0.2121,1,xss
192.168.1.32,32954,192.168.1.195,80,tcp,http,RSTR,2974,3571,125.248505,0.2118,1,xss
192.168.1.32,60192,192.168.1.195,80,tcp,http,RSTR,2998,3579,125.081466,0.2118,1,xss
192.168.1.32,59272,192.168.1.195,80,tcp,http,REJ,2356,3365,127.682612,0.2117,1,xss
192.168.1.32,35862,192.168.1.195,80,tcp,http,RSTR,2113,3284,125.059317,0.2111,1,xss
192.168.1.32,36710,192.168.1.195,80,tcp,http,RSTR,2128,3289,125.077968,0.2111,1,xss
192.168.1.32,37578,192.168.1.195,80,tcp,http,RSTR,2107,3282,125.179081,0.2111,1,xss
192.168.1.32,36692,192.168.1.195,80,tcp,http,RSTR,2074,3271,125.030687,0.2106,1,xss
192.168.1.36,37020,192.168.1.195,80,tcp,http,RSTR,2026,3255,125.150928,0.2106,1,xss
192.168.1.32,33148,192.168.1.195,80,tcp,http,RSTR,2485,3408,125.30647,0.2104,1,xss
192.168.1.180,39110,192.168.1.190,53,udp,dns,SF,5340,2058,80.059323,0.2103,0,normal
192.168.1.32,58390,192.168.1.195,80,tcp,http,RSTR,2020,3253,130.07133,0.2101,1,xss
192.168.1.32,57966,192.168.1.195,80,tcp,-,RSTR,2113,3284,128.867411,0.2101,1,xss
192.168.1.32,57650,192.168.1.195,80,tcp,http,RSTR,2020,3253,128.08419,0.2101,1,xss
192.168.1.34,48122,216.58.200.98,443,tcp,ssl,SF,2665,3469,14.558362,0.21,1,mitm
192.168.1.32,55270,192.168.1.195,80,tcp,http,RSTR,1990,3243,130.23089,0.2096,1,xss
192.168.1.32,52746,192.168.1.195,80,tcp,-,RSTRH,2905,3548,129.679231,0.2094,1,xss
192.168.1.34,41930,151.101.24.134,443,tcp,ssl,SF,3606,4849,16.480538,0.2093,1,mitm
192.168.1.31,40290,192.168.1.184,443,tcp,-,SHR,924,7324,118.20137,0.2093,1,ddos
192.168.1.152,55236,60.254.148.72,80,tcp,-,SHR,0,384,115.050439,0.2092,0,normal
192.168.1.152,50114,60.254.148.81,80,tcp,-,SHR,0,384,115.126404,0.2092,0,normal
192.168.1.31,43765,192.168.1.1,53,udp,dns,SF,5208,13056,8.288951,0.2091,1,mitm
192.168.1.190,58450,184.84.165.131,80,tcp,-,RSTO,592,768,84.194381,0.2088,0,normal
192.168.1.32,36524,192.168.1.195,80,tcp,-,RSTR,2308,3349,125.145148,0.2085,1,xss
192.168.1.36,36994,192.168.1.195,80,tcp,http,RSTR,1858,3198,125.108271,0.208,1,xss
192.168.1.152,47974,35.244.179.255,443,tcp,-,SHR,0,998,171.108387,0.2079,0,normal
192.168.1.32,49978,192.168.1.190,80,tcp,http,S3,5278,2210,42.006099,0.2076,1,xss
192.168.1.32,49682,192.168.1.190,80,tcp,http,S3,5917,2423,23.113773,0.2075,1,xss
192.168.1.31,34850,13.35.146.31,443,tcp,ssl,SF,898,7501,0.204027,0.2075,1,password
192.168.1.34,48686,104.244.42.200,443,tcp,ssl,SF,1670,4989,18.145529,0.2073,1,mitm
192.168.1.195,51417,192.168.1.79,9197,tcp,http,SF,692,29310,0.374189,0.207,0,normal
192.168.1.32,33970,192.168.1.195,80,tcp,http,RSTR,1780,3172,125.304873,0.2068,1,xss
192.168.1.36,36926,192.168.1.195,80,tcp,http,RSTR,1738,3158,125.261285,0.206,1,xss
192.168.1.36,37350,192.168.1.195,80,tcp,-,S3,1783,3173,50.727958,0.2054,1,xss
192.168.1.36,36898,192.168.1.195,80,tcp,http,RSTR,1510,3082,125.186085,0.2053,1,xss
192.168.1.36,36818,192.168.1.195,80,tcp,http,RSTR,1540,3092,125.228483,0.2053,1,xss
192.168.1.180,60240,192.168.1.152,1880,tcp,http,SF,5524,2509,18.511328,0.2051,0,normal
192.168.1.32,50518,192.168.1.190,80,tcp,http,RSTO,3940,1764,68.243106,0.205,1,xss
192.168.1.34,42598,216.58.200.99,80,tcp,http,SF,3045,4991,20.622907,0.2046,1,mitm
192.168.1.32,57834,192.168.1.190,80,tcp,http,S3,3694,1682,53.757914,0.2046,1,xss
192.168.1.32,53028,192.168.1.195,80,tcp,http,RSTR,1486,3075,129.844965,0.2043,1,xss
192.168.1.32,53768,192.168.1.195,80,tcp,http,RSTR,2557,3432,129.442142,0.2042,1,xss
192.168.1.32,53652,192.168.1.195,80,tcp,http,RSTR,2743,3494,129.226523,0.2042,1,xss
192.168.1.30,35096,34.215.51.80,443,tcp,ssl,SF,1144,3817,61.696469,0.2034,1,scanning
192.168.1.32,34012,192.168.1.195,80,tcp,http,RSTR,2203,3314,125.178868,0.2032,1,xss
192.168.1.152,37124,34.212.55.103,443,tcp,-,SHR,0,3641,61.168562,0.2024,0,normal
192.168.1.30,36450,192.168.1.184,443,tcp,ssl,S3,486,1727,60.654035,0.2017,1,ddos
192.168.1.193,49360,192.168.1.152,1880,tcp,http,RSTO,3580,2106,12.327625,0.2015,0,normal
192.168.1.195,51568,52.114.6.47,443,tcp,ssl,SF,6308,4558,0.81906,0.2014,0,normal
192.168.1.152,47654,52.35.21.241,443,tcp,-,SHR,0,3687,61.443419,0.2011,0,normal
192.168.1.32,59908,192.168.1.195,80,tcp,http,RSTR,1354,3030,125.131511,0.2009,1,xss
192.168.1.32,37442,192.168.1.195,80,tcp,http,RSTR,2809,3516,24.259242,0.2005,1,xss
192.168.1.32,53788,192.168.1.195,80,tcp,http,RSTR,2002,3247,129.361394,0.2003,1,xss
192.168.1.195,51931,111.221.29.253,443,tcp,ssl,SF,2214,4335,0.92032,0.2002,0,normal
192.168.1.32,56802,192.168.1.195,80,tcp,http,RSTR,1207,2981,127.072882,0.2001,1,xss
192.168.1.31,34544,192.168.1.184,443,tcp,ssl,S3,534,1727,61.203347,0.1997,1,ddos
192.168.1.32,50552,192.168.1.190,80,tcp,http,RSTO,2992,1448,60.738397,0.1993,1,xss
192.168.1.190,58071,117.18.237.29,80,tcp,http,SF,439,787,115.668637,0.1982,0,normal
192.168.1.152,50474,52.42.83.187,443,tcp,ssl,SF,674,3448,6.289256,0.1982,0,normal
192.168.1.152,52708,54.230.245.204,443,tcp,ssl,SF,674,3710,5.339963,0.1974,0,normal
192.168.1.30,41624,117.18.237.29,80,tcp,http,SF,431,787,115.286205,0.197,1,scanning
192.168.1.195,50851,13.107.3.128,443,tcp,ssl,RSTR,974,624,66.660557,0.1968,0,normal
192.168.1.195,52832,13.107.3.128,443,tcp,ssl,RSTR,974,624,64.999868,0.1968,0,normal
192.168.1.195,51293,13.107.3.128,443,tcp,ssl,RSTR,974,624,66.505555,0.1968,0,normal
192.168.1.195,53286,13.107.3.128,443,tcp,ssl,RSTR,974,624,62.45841,0.1963,0,normal
192.168.1.195,52203,13.107.3.128,443,tcp,ssl,RSTR,974,624,62.323224,0.1963,0,normal
192.168.1.32,58332,192.168.1.195,80,tcp,-,REJ,3049,3596,129.526325,0.1958,1,xss
192.168.1.152,33170,34.214.89.204,443,tcp,-,SHR,0,4477,61.84951,0.1957,0,normal
192.168.1.32,57828,192.168.1.195,80,tcp,http,RSTR,1804,3180,28.016681,0.1957,1,xss
192.168.1.152,47162,54.187.116.27,443,tcp,ssl,SF,399,3880,6.05649,0.1955,0,normal
192.168.1.152,44750,13.35.146.75,443,tcp,ssl,SF,674,3710,5.441596,0.1953,0,normal
192.168.1.195,52062,13.107.3.128,443,tcp,ssl,RSTR,974,624,68.462665,0.1952,0,normal
192.168.1.152,58876,52.35.21.241,443,tcp,-,SHR,0,3687,61.235922,0.1949,0,normal
192.168.1.152,45434,52.26.235.130,443,tcp,-,SHR,0,3687,60.807982,0.1949,0,normal
192.168.1.152,48200,52.42.83.187,443,tcp,-,SHR,0,3687,61.528955,0.1949,0,normal
192.168.1.152,50470,52.42.83.187,443,tcp,-,SHR,0,3687,61.011626,0.1949,0,normal
192.168.1.152,51602,54.187.176.55,443,tcp,-,SHR,0,3687,60.874591,0.1949,0,normal
192.168.1.30,51900,18.184.104.180,80,tcp,-,SF,350,11979,4.211249,0.1948,1,injection
192.168.1.193,49365,192.168.1.152,1880,tcp,http,RSTO,2226,1287,17.442388,0.1941,0,normal
192.168.1.31,56706,192.168.1.1,53,udp,dns,SF,4536,2942,5.035871,0.1931,1,mitm
192.168.1.32,48122,18.194.169.124,80,tcp,-,SF,3016,1521,66.300475,0.1931,1,xss
192.168.1.32,50542,192.168.1.190,80,tcp,http,RSTO,2485,1279,29.132925,0.1925,1,xss
192.168.1.32,48156,192.168.1.152,80,tcp,http,S1,7585,2966,5.132381,0.1925,1,xss
192.168.1.152,48440,52.33.113.226,443,tcp,-,SHR,0,3687,61.317889,0.1925,0,normal
192.168.1.152,37834,52.35.215.194,443,tcp,-,SHR,0,3687,61.299268,0.1925,0,normal
192.168.1.152,53896,52.35.215.194,443,tcp,-,SHR,0,3687,61.377499,0.1925,0,normal
192.168.1.152,47290,52.40.98.101,443,tcp,-,OTH,0,376,2702.149929,0.1924,0,normal
192.168.1.152,47290,52.40.98.101,443,tcp,-,OTH,0,345,2402.342415,0.1924,0,normal
192.168.1.30,38536,13.35.146.29,443,tcp,ssl,S2,905,14308,0.133156,0.1921,1,password
192.168.1.32,34186,176.28.50.165,80,tcp,-,RSTR,3373,0,93.160409,0.1913,1,xss
192.168.1.152,41664,54.69.84.189,443,tcp,-,OTH,0,3888,600.849693,0.1912,0,normal
192.168.1.34,33400,104.16.161.13,443,tcp,ssl,SF,901,4568,4.745072,0.1912,1,mitm
192.168.1.36,35298,192.168.1.190,80,tcp,http,SF,2002,1117,43.414166,0.1909,1,xss
192.168.1.32,47218,176.28.50.165,80,tcp,http,S3,3976,322,65.833787,0.1908,1,xss
192.168.1.31,3,192.168.1.1,3,icmp,-,OTH,3660,0,178.272,0.1907,1,mitm
192.168.1.32,45974,192.168.1.190,80,tcp,http,SF,5278,2210,4.958787,0.1906,1,xss
192.168.1.32,58060,192.168.1.195,80,tcp,-,REJ,1732,3156,129.602266,0.1903,1,xss
192.168.1.32,45050,192.168.1.152,80,tcp,-,SHR,2281,1196,15.260109,0.19,1,xss
192.168.1.32,46062,176.28.50.165,80,tcp,http,S3,3283,322,65.824785,0.19,1,xss
192.168.1.32,46522,176.28.50.165,80,tcp,http,S3,3274,322,65.794712,0.19,1,xss
192.168.1.32,41694,192.168.1.152,80,tcp,http,S3,4609,1973,10.437728,0.1899,1,xss
192.168.1.190,58085,117.18.237.29,80,tcp,http,RSTO,878,1576,31.936227,0.1898,0,normal
192.168.1.31,52244,52.59.177.21,80,tcp,-,SF,254,12183,1.383953,0.1897,1,injection
192.168.1.32,50460,192.168.1.190,80,tcp,http,S3,5917,2423,19.161067,0.1895,1,xss
192.168.1.152,33174,34.214.89.204,443,tcp,-,SHR,0,3872,60.857046,0.1894,0,normal
192.168.1.152,33172,34.214.89.204,443,tcp,-,SHR,0,3817,60.848613,0.1894,0,normal
192.168.1.32,38658,52.28.231.150,80,tcp,-,SF,2101,1215,65.93872,0.1892,1,xss
